age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,entrepreneur,married,tertiary,no,4465,yes,no,unknown,21,may,161,2,-1,0,unknown,no
45,admin.,married,secondary,no,0,no,no,cellular,19,aug,145,10,-1,0,unknown,no
29,technician,single,secondary,no,0,no,no,cellular,28,jan,296,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,1223,yes,no,cellular,7,may,369,1,-1,0,unknown,no
49,services,married,secondary,no,180,yes,yes,unknown,2,jun,392,3,-1,0,unknown,no
33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205,3,-1,0,unknown,no
46,admin.,married,secondary,no,2869,yes,no,cellular,20,nov,151,2,-1,0,unknown,no
56,admin.,married,secondary,no,1290,no,no,unknown,12,jun,243,1,-1,0,unknown,no
36,management,married,tertiary,no,771,yes,no,unknown,28,may,357,1,-1,0,unknown,no
38,management,single,tertiary,no,1515,yes,no,telephone,31,jul,42,5,-1,0,unknown,no
38,management,married,tertiary,no,6209,no,no,unknown,20,jun,46,10,-1,0,unknown,no
58,housemaid,married,tertiary,no,94,no,yes,cellular,28,jul,207,7,-1,0,unknown,no
38,admin.,married,secondary,no,2549,no,no,cellular,3,mar,103,1,-1,0,unknown,no
34,services,married,secondary,no,1414,yes,no,unknown,26,may,192,4,-1,0,unknown,no
52,blue-collar,single,primary,no,0,no,no,cellular,15,jul,131,2,-1,0,unknown,no
42,technician,married,secondary,no,5,no,no,cellular,21,aug,98,2,-1,0,unknown,no
26,self-employed,single,secondary,no,551,no,no,cellular,8,jul,531,1,-1,0,unknown,yes
38,student,married,unknown,no,0,no,no,cellular,8,jul,341,1,385,1,failure,yes
36,blue-collar,married,secondary,no,2774,yes,no,cellular,16,apr,172,1,-1,0,unknown,no
33,technician,single,secondary,no,247,yes,no,cellular,20,nov,428,1,-1,0,unknown,no
42,technician,married,tertiary,no,757,no,no,cellular,30,apr,354,1,79,1,success,yes
31,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,134,1,-1,0,unknown,no
40,blue-collar,married,primary,no,309,yes,no,cellular,14,may,221,2,-1,0,unknown,no
51,housemaid,married,secondary,no,429,no,no,cellular,14,aug,230,2,-1,0,unknown,no
43,management,married,tertiary,no,9261,yes,no,cellular,17,apr,273,2,254,2,failure,no
49,services,divorced,secondary,no,725,no,no,unknown,11,jun,275,2,-1,0,unknown,no
39,technician,married,secondary,no,3643,yes,no,unknown,23,may,160,3,-1,0,unknown,no
32,admin.,single,secondary,no,98,yes,no,cellular,5,may,360,1,365,2,failure,no
32,blue-collar,married,primary,no,-145,yes,yes,cellular,7,may,273,1,-1,0,unknown,no
35,technician,married,secondary,no,1140,yes,no,cellular,14,jul,69,2,-1,0,unknown,no
39,blue-collar,married,secondary,no,0,yes,no,cellular,18,nov,420,2,-1,0,unknown,no
53,retired,divorced,primary,no,1126,no,no,unknown,20,jun,92,3,-1,0,unknown,no
41,management,married,tertiary,no,6563,no,no,cellular,27,aug,136,8,-1,0,unknown,no
31,admin.,single,secondary,no,6042,yes,no,unknown,19,may,228,1,-1,0,unknown,no
45,management,married,tertiary,no,9711,no,no,unknown,19,jun,416,3,-1,0,unknown,no
40,entrepreneur,divorced,secondary,no,2998,yes,no,cellular,18,jul,623,3,-1,0,unknown,yes
43,blue-collar,married,primary,no,-101,yes,no,unknown,14,may,122,4,-1,0,unknown,no
58,entrepreneur,married,primary,no,1249,no,no,cellular,5,feb,187,1,-1,0,unknown,no
52,unemployed,married,primary,no,426,no,no,cellular,8,jun,252,5,-1,0,unknown,no
27,admin.,single,secondary,no,4590,yes,no,cellular,13,aug,75,1,442,2,failure,no
29,blue-collar,single,secondary,no,244,yes,no,cellular,15,may,19,2,-1,0,unknown,no
35,blue-collar,single,primary,no,3751,no,no,unknown,16,jun,193,1,-1,0,unknown,no
74,retired,married,secondary,no,9480,no,no,cellular,21,apr,211,1,-1,0,unknown,yes
45,blue-collar,married,primary,no,1691,yes,no,unknown,14,may,57,1,-1,0,unknown,no
38,blue-collar,married,primary,no,1495,yes,no,unknown,2,jun,74,3,-1,0,unknown,no
33,services,married,secondary,no,3444,yes,no,cellular,22,jul,487,4,-1,0,unknown,no
42,technician,married,secondary,no,27,no,no,cellular,14,aug,259,4,-1,0,unknown,no
30,admin.,single,secondary,no,312,no,no,cellular,8,jul,188,1,-1,0,unknown,no
26,technician,single,secondary,no,3,yes,no,unknown,19,may,610,1,-1,0,unknown,no
42,blue-collar,married,primary,no,163,yes,no,unknown,29,may,62,6,-1,0,unknown,no
59,services,married,primary,no,31,no,no,unknown,16,jun,41,3,-1,0,unknown,no
30,blue-collar,married,secondary,no,578,yes,yes,cellular,17,apr,71,2,317,1,failure,no
32,admin.,single,secondary,no,212,no,no,cellular,7,jul,830,5,-1,0,unknown,yes
41,technician,single,secondary,no,413,yes,yes,cellular,8,aug,292,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,6429,no,no,telephone,18,aug,138,4,-1,0,unknown,no
26,blue-collar,married,secondary,no,697,yes,no,cellular,18,may,253,2,-1,0,unknown,no
37,services,divorced,secondary,no,398,yes,yes,unknown,5,may,214,2,-1,0,unknown,no
46,blue-collar,divorced,secondary,no,168,yes,no,cellular,20,apr,255,1,336,4,other,no
79,retired,married,secondary,no,2354,no,no,telephone,7,aug,121,2,-1,0,unknown,no
34,management,single,tertiary,yes,621,no,no,cellular,28,aug,205,3,-1,0,unknown,no
48,blue-collar,married,primary,no,762,yes,no,unknown,12,may,81,4,-1,0,unknown,no
32,management,single,tertiary,no,0,no,no,cellular,5,feb,550,4,-1,0,unknown,yes
27,blue-collar,single,secondary,no,48,no,no,cellular,10,jul,152,6,-1,0,unknown,no
40,blue-collar,married,unknown,no,874,no,no,unknown,14,may,75,1,-1,0,unknown,no
32,technician,single,tertiary,no,69,no,no,cellular,7,may,95,1,357,3,other,no
28,services,married,primary,no,3,yes,no,cellular,14,may,9,1,-1,0,unknown,no
44,services,married,secondary,no,938,no,no,unknown,12,jun,406,1,-1,0,unknown,no
35,management,single,unknown,no,137,no,no,unknown,28,may,667,3,-1,0,unknown,no
42,blue-collar,single,primary,no,-376,yes,no,cellular,18,may,53,1,-1,0,unknown,no
32,admin.,married,secondary,no,2711,no,no,cellular,8,aug,193,1,-1,0,unknown,no
42,blue-collar,married,primary,no,704,yes,yes,telephone,31,jul,88,10,-1,0,unknown,no
32,technician,single,secondary,no,1210,yes,yes,unknown,28,may,267,4,-1,0,unknown,no
48,blue-collar,married,secondary,no,-404,yes,no,cellular,31,jul,130,3,-1,0,unknown,no
33,management,married,tertiary,no,1808,no,no,cellular,28,dec,250,3,-1,0,unknown,yes
34,management,married,tertiary,no,271,yes,no,cellular,15,feb,308,1,94,4,success,yes
41,technician,married,secondary,no,525,yes,no,cellular,21,jul,108,1,-1,0,unknown,no
58,unknown,married,primary,no,15,no,no,cellular,11,aug,57,2,-1,0,unknown,no
29,student,single,unknown,no,145,no,no,cellular,14,aug,105,1,-1,0,unknown,no
30,management,married,tertiary,no,623,yes,no,unknown,29,may,512,5,-1,0,unknown,no
39,management,divorced,tertiary,no,1555,yes,no,cellular,25,jul,796,1,-1,0,unknown,no
45,technician,married,secondary,no,-237,yes,yes,unknown,15,may,71,3,-1,0,unknown,no
30,management,single,tertiary,no,1636,no,no,unknown,6,jun,301,2,-1,0,unknown,no
31,admin.,single,secondary,no,0,no,no,cellular,17,apr,188,3,-1,0,unknown,yes
60,self-employed,married,primary,no,362,no,yes,cellular,28,jan,326,1,183,6,success,no
42,management,married,tertiary,no,477,yes,no,unknown,5,jun,517,3,-1,0,unknown,no
28,admin.,married,tertiary,no,167,yes,yes,cellular,18,feb,126,2,-1,0,unknown,no
26,entrepreneur,married,tertiary,no,79,yes,yes,unknown,9,may,346,3,-1,0,unknown,no
30,management,single,tertiary,no,3045,no,no,cellular,18,aug,189,7,-1,0,unknown,no
36,blue-collar,married,secondary,no,537,no,no,unknown,19,jun,160,6,-1,0,unknown,no
32,blue-collar,married,primary,no,7406,yes,no,unknown,20,may,418,2,-1,0,unknown,no
41,unemployed,married,secondary,no,0,no,no,cellular,5,feb,532,2,-1,0,unknown,no
49,admin.,single,secondary,no,981,yes,no,telephone,21,nov,10,3,-1,0,unknown,no
42,entrepreneur,married,secondary,no,215,yes,yes,cellular,21,nov,158,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,1492,yes,no,unknown,2,jun,267,10,-1,0,unknown,no
45,blue-collar,married,secondary,no,61,yes,yes,unknown,23,may,208,1,-1,0,unknown,no
37,management,single,tertiary,no,808,no,no,cellular,5,may,29,4,349,1,failure,no
30,admin.,single,tertiary,no,739,yes,no,cellular,17,apr,297,1,-1,0,unknown,no
42,technician,married,secondary,no,1013,no,yes,cellular,28,aug,117,8,-1,0,unknown,no
52,blue-collar,married,secondary,no,3165,no,no,unknown,6,may,26,1,-1,0,unknown,no
33,services,divorced,unknown,no,392,yes,no,cellular,15,jul,753,4,-1,0,unknown,no
44,management,single,secondary,no,3684,yes,no,cellular,17,nov,35,3,-1,0,unknown,no
28,blue-collar,single,primary,no,2340,yes,no,unknown,19,jun,399,1,-1,0,unknown,no
44,unknown,single,unknown,no,18881,no,no,cellular,2,dec,187,2,-1,0,unknown,no
33,management,single,tertiary,no,1021,no,no,cellular,2,feb,734,1,-1,0,unknown,no
52,management,married,tertiary,no,1701,yes,yes,cellular,17,nov,381,1,117,2,other,no
47,management,married,tertiary,no,1884,yes,yes,cellular,19,aug,74,2,-1,0,unknown,no
63,self-employed,married,tertiary,no,661,no,no,cellular,2,mar,56,2,-1,0,unknown,no
28,student,single,tertiary,no,836,yes,no,unknown,19,may,36,1,-1,0,unknown,no
39,blue-collar,married,primary,no,694,yes,no,cellular,21,nov,44,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,-32,yes,yes,cellular,31,jul,14,6,-1,0,unknown,no
38,blue-collar,married,secondary,no,168,no,yes,cellular,2,feb,151,1,-1,0,unknown,no
34,blue-collar,single,tertiary,no,-303,yes,no,cellular,18,may,17,5,355,2,failure,no
29,services,single,secondary,no,447,yes,yes,unknown,4,jun,106,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,227,yes,yes,cellular,29,jan,124,3,-1,0,unknown,no
28,services,single,secondary,no,899,no,no,unknown,11,aug,61,1,-1,0,unknown,no
50,blue-collar,married,primary,no,1549,yes,no,cellular,11,may,445,2,299,6,other,no
28,management,single,tertiary,no,678,no,yes,cellular,4,may,115,3,-1,0,unknown,no
32,blue-collar,married,primary,no,-89,yes,no,unknown,9,may,389,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,73,no,no,unknown,9,may,134,3,-1,0,unknown,no
46,technician,married,secondary,no,1028,yes,no,cellular,2,feb,96,2,208,1,failure,no
39,blue-collar,married,primary,no,2366,yes,no,cellular,16,apr,1007,3,325,4,failure,no
32,entrepreneur,married,tertiary,no,108,yes,yes,unknown,12,may,112,1,-1,0,unknown,no
36,entrepreneur,married,secondary,no,313,yes,no,cellular,29,jan,167,2,198,1,failure,no
26,technician,single,secondary,no,4859,no,no,cellular,19,oct,90,2,92,3,other,no
53,retired,single,primary,no,0,no,no,unknown,9,jun,114,1,-1,0,unknown,no
26,management,single,tertiary,no,212,no,no,cellular,2,feb,62,1,-1,0,unknown,no
31,admin.,single,secondary,no,8626,no,no,cellular,25,may,159,1,111,1,failure,no
31,services,single,secondary,no,181,no,no,cellular,13,nov,239,2,93,2,success,yes
36,management,single,tertiary,no,112,yes,no,cellular,15,jul,83,2,-1,0,unknown,no
32,blue-collar,single,secondary,no,313,yes,yes,unknown,5,jun,67,2,-1,0,unknown,no
40,management,married,tertiary,no,-130,yes,no,unknown,28,may,154,2,-1,0,unknown,no
44,management,married,tertiary,no,105,yes,no,unknown,6,may,1529,2,-1,0,unknown,no
63,retired,married,tertiary,no,133,yes,no,cellular,13,feb,104,2,-1,0,unknown,no
23,blue-collar,single,secondary,no,336,yes,no,cellular,5,may,500,1,-1,0,unknown,no
39,services,single,secondary,no,609,no,no,unknown,5,jun,372,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,1802,yes,no,unknown,3,jun,28,19,-1,0,unknown,no
59,retired,married,secondary,no,0,no,no,cellular,6,aug,142,2,-1,0,unknown,no
42,technician,married,secondary,no,-813,yes,no,unknown,18,jun,36,4,-1,0,unknown,no
45,technician,divorced,unknown,yes,-25,no,yes,unknown,3,jul,158,3,-1,0,unknown,no
58,housemaid,married,secondary,no,4840,no,no,unknown,11,jun,366,1,-1,0,unknown,no
38,blue-collar,single,primary,no,162,yes,no,unknown,8,may,200,2,-1,0,unknown,no
27,services,single,secondary,no,167,no,yes,cellular,8,jul,606,2,-1,0,unknown,no
35,services,single,secondary,no,-291,yes,no,cellular,20,apr,197,3,-1,0,unknown,no
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
58,entrepreneur,married,primary,no,124,yes,no,cellular,7,jul,293,7,-1,0,unknown,no
65,unemployed,divorced,secondary,no,588,no,no,cellular,10,sep,110,4,186,1,success,no
51,blue-collar,married,primary,no,1694,no,no,cellular,13,aug,186,2,-1,0,unknown,no
36,management,married,tertiary,no,3007,yes,no,cellular,4,aug,160,1,-1,0,unknown,no
30,admin.,single,secondary,no,1374,yes,no,unknown,13,may,207,1,-1,0,unknown,no
31,management,single,tertiary,no,1130,yes,no,cellular,2,feb,181,1,264,3,failure,no
30,technician,single,secondary,no,958,no,no,cellular,8,aug,112,2,-1,0,unknown,no
46,blue-collar,married,primary,no,-271,yes,no,cellular,25,jul,65,2,-1,0,unknown,no
49,services,single,secondary,no,308,yes,no,unknown,4,jun,96,3,-1,0,unknown,no
26,services,single,secondary,no,531,yes,yes,cellular,6,feb,184,1,-1,0,unknown,no
40,management,single,tertiary,no,0,yes,no,cellular,25,aug,79,2,95,4,success,no
43,management,divorced,tertiary,no,580,yes,no,cellular,11,may,1514,1,284,2,failure,yes
37,services,married,secondary,no,4760,yes,no,cellular,20,nov,187,2,-1,0,unknown,no
42,admin.,married,secondary,no,8238,yes,yes,cellular,16,apr,102,2,149,5,other,no
26,self-employed,single,tertiary,no,1393,no,no,cellular,3,jul,194,1,-1,0,unknown,no
53,retired,divorced,secondary,no,-24,no,no,unknown,11,jun,303,1,-1,0,unknown,no
45,services,married,primary,no,266,yes,no,cellular,4,aug,376,2,-1,0,unknown,no
32,admin.,married,secondary,no,347,yes,no,cellular,31,jul,155,13,-1,0,unknown,no
37,blue-collar,divorced,primary,no,117,yes,no,cellular,18,may,125,3,350,4,failure,no
34,services,married,secondary,no,29,yes,no,cellular,15,jul,387,5,-1,0,unknown,no
32,technician,single,secondary,no,0,no,no,cellular,20,aug,92,4,-1,0,unknown,no
38,admin.,single,secondary,no,137,yes,yes,unknown,7,may,125,2,-1,0,unknown,no
30,management,single,tertiary,no,502,no,no,cellular,11,oct,463,3,95,6,success,yes
26,blue-collar,single,secondary,no,592,yes,yes,unknown,27,may,174,1,-1,0,unknown,no
33,technician,single,tertiary,no,49,no,no,cellular,25,aug,476,3,-1,0,unknown,no
41,technician,married,tertiary,no,67,yes,no,cellular,19,nov,814,1,-1,0,unknown,yes
36,management,married,tertiary,no,0,yes,no,telephone,23,oct,140,1,143,3,failure,yes
58,management,married,secondary,no,835,no,no,unknown,9,jun,164,1,-1,0,unknown,no
34,management,married,tertiary,no,158,no,no,cellular,9,mar,212,3,181,6,success,yes
77,retired,married,secondary,no,9601,no,no,telephone,27,mar,515,1,-1,0,unknown,yes
45,services,married,secondary,no,162,no,no,unknown,6,jun,166,4,-1,0,unknown,no
51,management,divorced,tertiary,no,3926,yes,no,cellular,21,jul,208,2,-1,0,unknown,no
49,entrepreneur,married,secondary,no,1160,yes,no,unknown,14,may,153,1,-1,0,unknown,no
65,retired,married,unknown,no,820,no,no,cellular,7,jul,432,1,-1,0,unknown,no
26,blue-collar,single,primary,no,93,yes,no,cellular,14,may,43,3,-1,0,unknown,no
39,services,single,tertiary,no,410,no,no,unknown,19,jun,266,4,-1,0,unknown,no
30,admin.,married,secondary,no,187,yes,no,cellular,18,nov,106,1,-1,0,unknown,no
57,blue-collar,married,primary,no,12048,yes,no,cellular,15,apr,103,2,-1,0,unknown,no
44,entrepreneur,married,primary,no,58,yes,no,unknown,7,may,113,3,-1,0,unknown,no
43,technician,married,secondary,no,-496,yes,no,unknown,29,may,100,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,1209,yes,no,unknown,26,may,304,3,-1,0,unknown,no
27,services,married,primary,no,91,yes,no,unknown,8,may,168,2,-1,0,unknown,no
36,entrepreneur,married,tertiary,no,2700,no,no,cellular,4,feb,99,3,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,-81,no,yes,unknown,2,jul,83,3,-1,0,unknown,no
34,services,married,secondary,no,279,yes,no,unknown,27,may,498,1,-1,0,unknown,no
72,admin.,married,primary,no,2321,no,no,cellular,12,jul,200,6,122,6,other,no
35,management,single,tertiary,no,-289,yes,no,unknown,21,may,490,1,-1,0,unknown,no
35,services,married,unknown,no,0,no,no,unknown,17,jun,229,7,-1,0,unknown,no
45,blue-collar,married,unknown,no,818,yes,no,unknown,30,may,343,3,-1,0,unknown,no
55,technician,married,secondary,no,0,no,no,cellular,19,nov,336,1,-1,0,unknown,no
56,services,divorced,secondary,no,476,no,no,cellular,11,aug,67,7,-1,0,unknown,no
42,technician,divorced,tertiary,no,2611,yes,no,cellular,25,jun,300,1,389,3,failure,yes
57,entrepreneur,married,secondary,no,666,no,no,cellular,4,aug,138,1,-1,0,unknown,no
48,services,married,secondary,no,801,no,no,cellular,8,aug,80,1,-1,0,unknown,no
59,blue-collar,married,primary,no,5788,no,no,cellular,14,may,56,2,350,2,failure,no
35,management,single,tertiary,no,592,no,yes,unknown,14,may,192,1,-1,0,unknown,no
44,management,married,secondary,no,11972,no,no,unknown,19,jun,127,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,-1725,yes,no,unknown,27,may,452,2,-1,0,unknown,no
34,admin.,married,secondary,no,34,yes,no,unknown,13,may,188,3,-1,0,unknown,no
40,management,married,unknown,no,6,yes,no,cellular,29,jul,64,4,-1,0,unknown,no
30,blue-collar,single,secondary,no,-61,no,no,cellular,29,jan,111,2,196,1,failure,no
58,management,married,tertiary,no,1384,yes,no,cellular,27,mar,342,1,-1,0,unknown,yes
30,management,single,tertiary,no,0,no,no,cellular,8,aug,88,5,-1,0,unknown,no
40,admin.,married,secondary,yes,-444,no,yes,telephone,30,jul,168,8,-1,0,unknown,no
65,retired,married,secondary,no,1176,no,no,cellular,25,sep,64,1,50,2,failure,no
37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,-1,0,unknown,yes
30,blue-collar,divorced,secondary,no,0,no,yes,cellular,8,jul,320,1,-1,0,unknown,no
24,blue-collar,single,unknown,no,192,no,no,cellular,27,may,424,1,-1,0,unknown,no
50,admin.,single,primary,no,181,yes,no,cellular,15,may,119,4,372,3,failure,no
34,blue-collar,single,unknown,no,6141,yes,no,unknown,3,jun,145,1,-1,0,unknown,no
26,technician,married,tertiary,no,233,yes,no,cellular,25,jul,175,1,-1,0,unknown,no
44,management,married,tertiary,no,445,no,yes,telephone,6,feb,135,2,9,7,other,no
59,management,married,primary,no,0,yes,no,telephone,7,may,123,3,-1,0,unknown,no
28,student,single,secondary,no,404,yes,no,cellular,18,may,33,2,367,4,other,no
43,unemployed,married,secondary,no,210,yes,no,unknown,12,may,88,5,-1,0,unknown,no
39,services,married,unknown,no,-516,yes,no,unknown,9,may,86,2,-1,0,unknown,no
52,housemaid,married,primary,no,10943,no,no,cellular,16,sep,292,1,-1,0,unknown,yes
39,technician,married,secondary,no,3050,yes,no,unknown,6,jun,236,7,-1,0,unknown,no
31,technician,single,secondary,no,18,no,no,unknown,31,aug,27,1,-1,0,unknown,no
47,retired,divorced,secondary,no,-157,no,yes,unknown,23,jul,104,1,-1,0,unknown,no
39,technician,married,secondary,no,2983,no,no,cellular,3,dec,472,1,-1,0,unknown,yes
33,services,single,primary,no,92,yes,no,cellular,17,jul,63,11,-1,0,unknown,no
46,technician,married,tertiary,no,0,no,no,unknown,6,jun,159,1,-1,0,unknown,no
31,management,married,tertiary,no,315,no,no,cellular,29,aug,109,4,-1,0,unknown,no
44,technician,married,tertiary,no,0,yes,yes,cellular,20,nov,286,6,191,2,failure,no
41,management,married,tertiary,no,27696,no,no,cellular,12,feb,138,2,184,3,success,yes
45,self-employed,married,tertiary,no,0,yes,yes,cellular,15,jul,372,4,-1,0,unknown,no
51,management,divorced,tertiary,no,-202,no,no,cellular,19,aug,504,4,-1,0,unknown,no
45,blue-collar,married,primary,no,1670,no,yes,cellular,24,jul,171,1,-1,0,unknown,no
35,technician,married,secondary,no,1546,yes,no,cellular,13,may,156,1,174,4,failure,no
31,admin.,married,secondary,no,23,no,no,cellular,28,aug,322,7,-1,0,unknown,no
35,blue-collar,married,secondary,no,2432,yes,no,cellular,14,may,196,2,-1,0,unknown,no
29,management,single,tertiary,no,42,yes,no,unknown,26,jun,91,4,-1,0,unknown,no
36,self-employed,single,tertiary,no,351,no,no,cellular,30,apr,78,1,84,1,failure,no
27,blue-collar,single,primary,no,268,no,no,unknown,4,jun,32,1,-1,0,unknown,no
50,management,married,tertiary,no,2479,no,no,cellular,17,nov,259,1,-1,0,unknown,no
43,unemployed,married,secondary,no,775,no,no,cellular,14,aug,98,1,106,1,failure,no
31,technician,single,secondary,no,2377,yes,no,cellular,11,may,350,3,-1,0,unknown,no
32,admin.,divorced,secondary,no,0,no,no,cellular,10,jul,212,1,-1,0,unknown,no
33,technician,single,secondary,yes,-173,no,no,cellular,27,aug,342,4,-1,0,unknown,no
60,entrepreneur,married,secondary,no,480,no,yes,telephone,15,jul,341,6,-1,0,unknown,no
33,blue-collar,divorced,secondary,no,126,yes,no,unknown,7,may,248,3,-1,0,unknown,no
48,services,married,unknown,no,1155,yes,no,unknown,16,may,557,4,-1,0,unknown,no
24,services,single,secondary,no,11,yes,no,unknown,27,jun,114,4,-1,0,unknown,no
43,services,married,secondary,no,0,no,no,cellular,4,feb,235,2,-1,0,unknown,no
81,retired,married,primary,no,243,no,no,cellular,27,oct,131,1,-1,0,unknown,yes
51,blue-collar,divorced,primary,no,155,yes,yes,cellular,9,apr,220,1,142,1,failure,no
39,entrepreneur,married,primary,no,437,yes,no,unknown,27,oct,150,1,-1,0,unknown,yes
82,retired,married,secondary,no,121,no,no,telephone,19,feb,330,1,-1,0,unknown,yes
33,management,married,tertiary,no,437,yes,no,cellular,9,jul,293,1,-1,0,unknown,no
35,admin.,divorced,tertiary,no,1555,yes,no,unknown,9,may,26,2,-1,0,unknown,no
43,unemployed,married,primary,no,9262,yes,no,cellular,6,may,45,1,-1,0,unknown,no
33,technician,divorced,secondary,no,557,yes,no,cellular,20,nov,89,1,91,1,failure,no
37,unemployed,married,secondary,no,1038,no,no,unknown,20,jun,307,3,-1,0,unknown,no
53,housemaid,married,primary,no,421,no,no,cellular,6,aug,376,4,-1,0,unknown,no
35,technician,married,tertiary,no,25,no,no,cellular,27,aug,219,2,-1,0,unknown,no
43,entrepreneur,married,tertiary,no,13342,yes,no,cellular,18,nov,465,1,-1,0,unknown,no
32,technician,single,tertiary,no,0,no,no,cellular,21,aug,119,2,-1,0,unknown,no
59,management,divorced,tertiary,yes,0,no,no,cellular,4,feb,47,2,-1,0,unknown,no
39,blue-collar,married,primary,no,2715,yes,no,unknown,2,jun,201,3,-1,0,unknown,no
24,admin.,married,secondary,no,262,yes,no,unknown,4,jun,69,3,-1,0,unknown,no
35,admin.,married,secondary,no,3863,yes,no,cellular,20,nov,239,1,-1,0,unknown,no
44,self-employed,single,tertiary,no,1367,yes,no,cellular,13,apr,1232,3,146,1,other,yes
35,management,married,tertiary,no,1942,yes,no,unknown,8,may,249,1,-1,0,unknown,no
57,admin.,single,secondary,no,738,no,no,cellular,17,nov,56,1,-1,0,unknown,no
46,blue-collar,married,primary,no,328,yes,no,unknown,21,may,526,8,-1,0,unknown,no
38,technician,married,tertiary,no,-363,no,no,cellular,26,aug,101,2,-1,0,unknown,no
44,technician,single,secondary,no,-34,no,yes,cellular,27,aug,14,13,-1,0,unknown,no
37,blue-collar,married,secondary,no,1818,yes,no,unknown,20,jun,193,11,-1,0,unknown,no
44,management,divorced,tertiary,no,-90,yes,no,cellular,21,jul,472,1,-1,0,unknown,no
40,management,married,secondary,no,6695,yes,no,cellular,6,feb,297,1,252,1,failure,no
51,blue-collar,married,secondary,no,7225,no,no,cellular,29,jul,301,2,-1,0,unknown,no
57,admin.,married,secondary,no,11,no,no,cellular,2,feb,261,1,265,3,failure,no
55,technician,married,secondary,no,55,no,yes,cellular,28,aug,19,17,-1,0,unknown,no
47,management,married,tertiary,no,2473,yes,yes,cellular,31,jul,122,2,-1,0,unknown,no
33,technician,divorced,secondary,no,2,yes,no,cellular,7,may,600,2,330,17,failure,no
37,services,single,secondary,no,510,yes,no,unknown,26,may,322,1,-1,0,unknown,no
39,self-employed,married,secondary,no,167,yes,yes,cellular,17,jul,330,1,-1,0,unknown,no
42,unemployed,married,secondary,no,0,yes,no,cellular,13,may,74,3,-1,0,unknown,no
40,admin.,married,secondary,no,334,yes,no,unknown,6,jun,84,5,-1,0,unknown,no
40,services,divorced,secondary,no,768,yes,no,cellular,12,may,138,3,-1,0,unknown,no
63,retired,married,secondary,no,2896,no,no,cellular,4,mar,180,2,-1,0,unknown,yes
34,admin.,single,secondary,no,126,yes,no,unknown,20,may,61,2,-1,0,unknown,no
34,technician,single,secondary,yes,264,no,no,unknown,2,jun,131,2,-1,0,unknown,no
32,services,married,secondary,no,442,yes,no,unknown,8,may,207,1,-1,0,unknown,no
31,self-employed,single,tertiary,no,2589,no,no,cellular,21,nov,614,1,-1,0,unknown,yes
38,technician,married,secondary,no,0,yes,yes,cellular,7,may,193,2,296,5,other,no
40,management,single,secondary,no,906,yes,no,cellular,5,may,67,4,-1,0,unknown,no
32,technician,single,tertiary,no,600,no,no,cellular,2,nov,272,1,-1,0,unknown,no
51,services,married,unknown,no,3413,no,no,cellular,27,aug,146,7,-1,0,unknown,no
32,self-employed,married,tertiary,no,189,yes,no,unknown,6,jun,106,2,-1,0,unknown,no
50,management,divorced,tertiary,no,356,no,no,cellular,8,may,198,2,358,5,other,no
38,technician,married,secondary,no,0,yes,no,cellular,22,apr,315,1,-1,0,unknown,yes
33,admin.,married,tertiary,no,957,yes,no,unknown,28,may,361,4,-1,0,unknown,no
41,housemaid,married,tertiary,no,38,yes,no,unknown,15,may,230,7,-1,0,unknown,no
50,admin.,married,secondary,no,106,no,yes,cellular,7,aug,59,2,-1,0,unknown,no
42,admin.,married,secondary,no,0,yes,no,cellular,8,jul,1011,1,-1,0,unknown,no
43,unemployed,married,secondary,no,0,yes,yes,cellular,23,sep,183,2,184,13,failure,yes
32,technician,married,secondary,no,-360,yes,no,cellular,6,may,131,2,344,2,failure,no
32,management,single,secondary,no,249,yes,no,unknown,2,jun,258,1,-1,0,unknown,no
46,management,divorced,tertiary,no,0,no,no,cellular,20,aug,50,2,-1,0,unknown,no
54,management,divorced,tertiary,no,427,yes,yes,cellular,4,feb,85,2,231,2,other,no
45,management,divorced,tertiary,no,-96,no,yes,cellular,20,aug,95,2,-1,0,unknown,no
56,blue-collar,married,primary,no,826,yes,no,cellular,21,jul,853,1,-1,0,unknown,no
30,management,married,tertiary,no,1814,yes,no,cellular,18,may,207,4,-1,0,unknown,no
35,self-employed,single,tertiary,no,538,yes,yes,unknown,8,may,21,9,-1,0,unknown,no
29,services,single,secondary,no,-565,yes,no,unknown,4,jun,109,1,-1,0,unknown,no
41,blue-collar,married,primary,no,620,no,no,cellular,28,jan,314,1,-1,0,unknown,no
